nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.695374878696095600e+00,9.476410204161723527e+00,9.689258995733979418e+00,9.537611795578440521e+00,9.442438579212307559e+00,9.384910322591091258e+00,9.395449455637615799e+00,9.408413896860418291e+00,9.631057339317131039e+00,9.771263285973125434e+00,9.709663742848972490e+00,9.743045998772387861e+00,9.638265845161013701e+00,9.533777001453547228e+00,9.395047521832374571e+00,9.382699187965656051e+00,9.312405475363265239e+00,9.483743842200748730e+00,9.539275915394160421e+00,9.436025386481993849e+00,9.459568128775142526e+00,9.437934783322402765e+00,9.520295564348133510e+00,9.478337250598004360e+00,9.419787255954803484e+00,9.149267194119270030e+00,9.537108365083090789e+00,9.621848630989658702e+00,9.631608247350948560e+00,9.725747406973246356e+00,9.796922427237749531e+00,9.894828030770252525e+00,9.951574342438124887e+00,9.872878058842013971e+00,9.905008520815117734e+00,9.946228575933233174e+00,9.942708189844962519e+00,9.929211334172112657e+00,9.988670542109444384e+00,9.978462179142468358e+00,1.002839288862259792e+01,9.889622694960703342e+00,9.906410938960284795e+00,1.009419685355914709e+01,9.920044636762854751e+00,8.867186792815163088e+00
3.816320875275885260e+00,1.169592040582215731e+01,1.285128193518610829e+01,1.306528468891844952e+01,1.286374506736945911e+01,1.309079266435882438e+01,1.318051805623913708e+01,1.319827616431730632e+01,1.328506652824673751e+01,1.328988313966373802e+01,1.328843547870336295e+01,1.322973844976078084e+01,1.318487877813172382e+01,1.312761949963064900e+01,1.320902206794125888e+01,1.323263830367113236e+01,1.320991007879922030e+01,1.318036143575734442e+01,1.308653870821338927e+01,1.297717539007122767e+01,1.284252161604294962e+01,1.258124041654187764e+01,1.263371839335834323e+01,1.289090836313337718e+01,1.310568985495165428e+01,1.297065142999671750e+01,1.271222885106344158e+01,1.274155574192852569e+01,1.283666768907001554e+01,1.286251602804086680e+01,1.266102520365198103e+01,1.257487890052872359e+01,1.267769441487818938e+01,1.263695835884443319e+01,1.272165343690720718e+01,1.287933045892622808e+01,1.302078500144710560e+01,1.277953836591577463e+01,1.265773597260365513e+01,1.254833166145122014e+01,1.245122399426373505e+01,1.258421486869798045e+01,1.269693162253509300e+01,1.276097849774843596e+01,1.264805355699880707e+01,1.213082730165563561e+01
1.239375682988525185e+01,1.430673449243168527e+01,1.512920755619103375e+01,1.529458523141569337e+01,1.532658650231163477e+01,1.541570595142622402e+01,1.535744626752075170e+01,1.524844048300329469e+01,1.530669457759613827e+01,1.553341476768790486e+01,1.565936236704327200e+01,1.569788946099195925e+01,1.561100291887965597e+01,1.556365485808588112e+01,1.552273788427675427e+01,1.549047787908083329e+01,1.544684742058876736e+01,1.543738353154614629e+01,1.551913275138908510e+01,1.548652062130966378e+01,1.543659229064849114e+01,1.547202928834131974e+01,1.548865329505808930e+01,1.536367952553744765e+01,1.512660427248806982e+01,1.501434975230107760e+01,1.503082594343182876e+01,1.511086765904111040e+01,1.515155530473051826e+01,1.538695550218676189e+01,1.540941673717842697e+01,1.547077685596312335e+01,1.549514926023608297e+01,1.538240021431422377e+01,1.539860959260960982e+01,1.542798609841488755e+01,1.546383238771902491e+01,1.550355667302770613e+01,1.538602353687204527e+01,1.546636530550467725e+01,1.541257544671239721e+01,1.545129910088259173e+01,1.529296382789721775e+01,nan,1.516283398632555723e+01,1.452810815803853650e+01
nan,nan,1.632589208289262572e+01,1.734141459037251209e+01,1.726240282771415835e+01,1.695739086423156650e+01,1.692724928768869219e+01,1.694050210973751902e+01,1.690697301520538431e+01,1.679985977479469028e+01,1.671557174925570877e+01,1.669379548357844456e+01,1.674913706727745577e+01,1.651765586884431514e+01,1.655585840562779154e+01,1.674809381055678514e+01,1.675425827519030619e+01,1.659788710989931104e+01,1.643309396628501062e+01,1.640349747633046107e+01,1.639302031409633287e+01,1.636986025795073729e+01,1.638602300874718409e+01,1.646825436892185834e+01,1.655360051003265909e+01,1.676488754435455419e+01,1.676616221955192643e+01,1.663667932002800498e+01,1.670189113680708459e+01,1.688502329787046108e+01,1.679699545615503808e+01,1.678104785232823914e+01,1.682003149022915878e+01,1.688449193172648677e+01,1.693667929927118010e+01,1.697065441719808376e+01,1.702471899881008000e+01,1.698915344504309743e+01,1.688149520337519860e+01,1.659147000791550397e+01,1.658258160850165908e+01,1.682782065737582045e+01,1.703989419862817201e+01,1.712969040948126676e+01,1.698471595244500421e+01,1.642975134696927242e+01
nan,nan,1.806457193685414353e+01,1.898815784334888335e+01,1.900279972145769491e+01,1.898076073102766159e+01,1.859595429916987896e+01,1.830933795694216570e+01,1.820167818159013251e+01,1.821306381779794492e+01,1.831507705024146659e+01,1.839456846821058278e+01,1.844093332176583644e+01,1.812732110171362265e+01,1.816419380493052671e+01,1.816594324499748225e+01,1.798743949615171900e+01,1.797013115130816985e+01,1.797520286213793383e+01,1.794831814724329178e+01,1.797150024903161025e+01,1.800173423661737360e+01,1.795812317211095177e+01,1.795934227911371295e+01,1.790676970951902192e+01,1.769559061589749405e+01,1.766467335061668109e+01,1.750163159785041600e+01,1.758973381311094286e+01,1.776042182148396265e+01,1.791801226576804495e+01,1.792040040188539152e+01,1.791161192138966740e+01,1.790120616672830067e+01,1.789697874452627602e+01,1.784145152275564783e+01,1.784089829712610253e+01,1.793549381812315247e+01,1.796007388030333374e+01,1.800069303713128477e+01,1.806289242840670539e+01,1.809250175795983395e+01,1.818908373751804675e+01,1.847359293010834946e+01,1.847750498120806029e+01,1.797215914010901727e+01
nan,1.588187633444494118e+01,1.814986650257082346e+01,1.987084578104959220e+01,1.994233173188923303e+01,1.948276026136435490e+01,1.920187701857880569e+01,1.912511810723904304e+01,1.906959355177917104e+01,1.904779918683742679e+01,1.896500872535250082e+01,1.889104205787678481e+01,1.882467805017248352e+01,1.878308998333416469e+01,1.881909751940635545e+01,1.886550781665685506e+01,1.890546370777960661e+01,1.884327559458624890e+01,1.873996461142065328e+01,1.869253197569479852e+01,1.867458605182149611e+01,1.870913915509314407e+01,1.875229057213621431e+01,1.875286509569123439e+01,1.878996689541361675e+01,1.886009491974859742e+01,1.888099202708419000e+01,1.885030812483729434e+01,1.887966496019366858e+01,1.892463804268828653e+01,1.891528270943326717e+01,1.895682741089754231e+01,1.899106736253644456e+01,1.908924263283270761e+01,1.923428369794844883e+01,1.923298805483423735e+01,1.927379252840791324e+01,1.926464034792861568e+01,1.914756314346113442e+01,1.895203368085153173e+01,1.897862838308064681e+01,1.928925450036022582e+01,1.952809623236145598e+01,1.963146158539485597e+01,1.974987816006540697e+01,1.945086959965948736e+01
nan,1.814052331331205181e+01,2.046178953345566498e+01,2.138422118938018102e+01,2.123232591333582775e+01,2.088795381059456702e+01,2.050231155299340458e+01,2.022922546440926084e+01,2.024880703180330244e+01,2.010952689899644596e+01,2.024185867601022437e+01,2.015652994667071596e+01,2.015289565433490182e+01,2.009046732728121043e+01,1.998294545569309477e+01,2.008549861143279003e+01,2.010145563219409937e+01,2.008603023131265530e+01,1.992984448885071913e+01,1.987844072375940385e+01,1.996703170072203193e+01,1.996954498490536523e+01,1.987418928865545453e+01,1.985189383424161136e+01,1.974610677511994083e+01,1.958246815864003665e+01,1.961961266046319352e+01,1.954481606647561875e+01,1.974632170380519369e+01,1.988834434977378862e+01,1.996724315712105380e+01,1.991497506708874354e+01,1.986859788077738642e+01,1.979424506091516633e+01,1.956450441453977263e+01,1.944749316475710188e+01,1.951921398696603660e+01,1.966501215765164901e+01,1.968166765839580279e+01,1.962427683649158894e+01,1.974210092539934536e+01,1.980728035377740426e+01,2.031997430270992666e+01,2.060688661501851726e+01,1.978475368848177496e+01,1.718652067369372460e+01
1.705319824689389208e+01,1.950468016635895907e+01,2.174465102766740898e+01,2.248794380044778052e+01,2.248435270853103773e+01,2.213445030160317017e+01,2.192110991595808756e+01,2.191798229334712644e+01,2.187652236265886430e+01,2.190656895667903470e+01,2.177118199201462900e+01,2.170335880244131133e+01,2.171554557775076333e+01,2.182630679457813727e+01,2.197441731337564619e+01,2.209220933532824915e+01,2.213796201591109636e+01,2.217324550098505398e+01,2.208900164270297495e+01,2.216611341191577012e+01,2.224741384109344722e+01,2.225428211016873448e+01,2.231630797400846689e+01,2.249198318812951669e+01,2.245702634574147893e+01,2.239892582889408601e+01,2.242084170251598962e+01,2.243832356001383133e+01,2.239793889169909846e+01,2.230580090365579693e+01,2.236642306901144295e+01,2.233549744614702703e+01,2.218010180581035584e+01,2.204112453992564014e+01,2.197479066429394834e+01,2.195884773249799338e+01,2.195919593029753614e+01,2.186826614251286216e+01,2.188371921703689438e+01,2.180196802659629540e+01,2.183799753915975117e+01,2.195089336712056749e+01,2.203198496344681701e+01,2.192933858578682660e+01,2.064287538857955084e+01,1.850522690447043672e+01
1.845942395270780167e+01,2.086735806140959326e+01,2.284338811314792039e+01,2.373317373181705747e+01,2.397478781368868184e+01,2.392256631660761457e+01,2.360676421158385097e+01,2.346484391219957288e+01,2.342301507020792073e+01,2.341585977441849664e+01,2.349200461516528193e+01,2.363216322749691756e+01,2.375620240346461998e+01,2.382635453051838681e+01,2.390217741339972690e+01,2.402880761876676274e+01,2.405365962800793866e+01,2.409626614039007464e+01,2.410106229869424155e+01,2.417219689183979625e+01,2.434049100219697337e+01,2.432251374074960637e+01,2.440387118619840834e+01,2.452398315576951049e+01,2.441063069400136243e+01,2.435975776535784121e+01,2.427587805384901287e+01,2.426088762613855110e+01,2.433021331155751099e+01,2.435631214978077352e+01,2.450747151257921530e+01,2.442446574556036509e+01,2.438684872447008800e+01,2.426050010929742839e+01,2.418612452311473504e+01,2.404619016668026532e+01,2.404832688153944886e+01,2.401417489127745952e+01,2.400545837062932009e+01,2.397520121444365060e+01,2.394559697997737402e+01,2.399211681760440129e+01,2.414151603655967904e+01,2.421522890712495979e+01,2.358826755253725338e+01,2.217659455354264608e+01
