# timestamp,MA2010 J1,MA2010 J2,MA2010 J3,MA2010 J4,MA2010 J5,MA2010 J6,MA1440 J1,MA1440 J2,MA1440 J3,MA1440 J4,MA1440 J5,MA1440 J6,D500B J1,D500B J2
1.763670877704781055e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.242416364861361533e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877705284119e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.242416364861361533e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877713756561e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.242416364861361533e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877721843243e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.242594416202812191e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877729857206e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.242594416202812191e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877738058329e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.242950518885714617e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877746652126e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492027194588074757e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877754731178e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877762793779e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877770810843e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877778657198e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877786599636e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249162740046944498e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877794620514e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.188170305620998124e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249149317715050556e+00,4.353805631408542154e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877802541971e+09,-4.774809671820303691e-01,5.715008582270245663e-01,8.189266006183773539e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249149317715050556e+00,4.353560194482480328e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877811053753e+09,-4.774809671820303691e-01,5.715100072178072033e-01,8.189266006183773539e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249149317715050556e+00,4.353314757556418502e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877819530964e+09,-4.774809671820303691e-01,5.715283051993724772e-01,8.190361706746548953e-02,-1.807333092912648820e-01,-7.243128570227165275e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249135895383156614e+00,4.352946602167326318e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
1.763670877827544689e+09,-4.774809671820303691e-01,5.715466031809376402e-01,8.190361706746548953e-02,-1.807162461011882770e-01,-7.243306621568615933e-01,4.221374553491280546e-01,-2.583064636595797658e-01,1.249109050719368508e+00,4.352455728315202665e-01,-9.780049710634647342e-01,-1.714865884917131211e+00,2.492065574209435752e+00,-2.618654332217831837e-01,-1.570061030218885101e+00
